company_id,marketcap,employees_count,price_usd,operating_margin_ttm,pe_ratio_ttm
135,3890002688,71034,0.8674,1624.0,5.04249
136,3842697216,971,22.86,956.0,152.333
137,3815571968,35000,27.08,268.0,57.617
138,3777246720,1800,27.78,-1913.0,-17.1814
139,3773766144,2300,21.25,-1988.0,-38.7778
140,3741746688,1814,61.07,359.0,376.188
141,3487117312,2623,56.75,-1626.0,-18.835
142,3455639296,2487,23.99,443.0,121.05
144,3341570560,914,28.27,-10051.0,-11.1197
145,3294947584,2779,75.24,-195.0,-188.425
148,3149662464,1141,56.25,-1681.0,-60.8333
149,3122486016,1300,29.77,-2892.0,-40.3889
150,3116722176,2850,43.42,-3303.0,-9.25885
151,3045537024,3511,11.26,-483.0,404.603
152,3025761024,3349,27.83,828.0,34.2875
153,3005087717,9060,19.38,-139.0,23.3715
154,2802411264,202,13.69,-53199.0,-23.1579
155,2759827456,1426,41.9,606.0,55.7945
156,2675754752,2307,36.54,-3035.0,-16.6959
157,2670576128,1204,31.05,-393.0,-244.346
158,2626253312,1150,16.43,1274.0,123.846
159,2609392682,24071,22.04,915.0,12.4587
160,2604819712,3000,17.04,-3152.0,-2.52932
161,2534854585,1418,14.55,2638.0,20.8818
162,2520666862,4848,34.07,426.0,-252.01
163,2507608832,946,36.0,-2462.0,-33.5
165,2328129536,2071,53.44,1947.0,29.1703
166,2326718720,3429,42.57,-638.0,-21.2629
167,2301447936,787,31.95,-8583.0,52.0323
168,2275257600,1600,11.2,-2190.0,-25.5814
169,2258916096,1112,17.27,-3420.0,-13.5806
170,2247023872,1370,34.3,-1992.0,-24.7163
171,2229880064,1538,12.19,1377.0,148.107
172,2147337728,2796,17.07,-2810.0,-18.1522
173,2144686848,851,22.49,-2608.0,-38.6897
175,2133133312,1600,84.07,795.0,172.102
176,2057486976,76752,7.52,769.0,19.8919
177,2028063104,1166,22.07,-2804.0,-21.4706
179,1927130496,2160,11.62,-10984.0,-106.903
180,1913002368,2300,10.14,-349.0,-33.6074
181,1884623061,8825,36.08,972.0,19.5957
182,1865310336,1754,69.26,764.0,13.7744
183,1848771279,715,232.46,2572.0,74.6062
184,1810121533,2444,9.5,-94.0,-61.7785
185,1798305408,4200,27.98,788.0,-286.0
186,1763908325,2558,19.31,152.0,44.6323
187,1756934784,2150,60.36,1503.0,21.3274
188,1722774656,1528,37.24,-3195.0,-27.2319
189,1717958528,751,21.75,-404.0,-94.913
190,1710599466,706,67.37,2323.0,49.9266
192,1692796160,1604,7.9,-4088.0,-5.8
193,1687496448,1005,8.55,989.0,-39.9524
194,1647156608,1316,11.5,-1205.0,-78.9653
195,1590519552,3830,34.98,-284.0,-45.6493
196,1549424896,5700,52.22,964.0,21.6584
197,1522866304,2331,21.45,854.0,23.2174
199,1472386304,7461,3.88,-2106.0,-2.2378
200,1467459328,2187,7.99,-1448.0,-34.6522
201,1466290816,880,46.23,474.0,196.957
202,1444586368,4754,25.92,1377.0,25.0971
203,1432171520,700,12.03,-3888.0,-12.8295
204,1390628800,510,26.12,4948.0,94.3068
205,1368529595,1729,24.76,2135.0,21.9996
206,1315817984,1835,2.29,-6931.0,-12.2222
207,1285270016,3191,2.8,-974.0,-2.37391
208,1282844672,1349,6.83,-1588.0,-48.9928
209,1281034658,32941,18.79,1075.0,16.1208
210,1240791936,6000,13.16,680.0,390.945
211,1228695583,18946,92.23,1318.0,17.4871
212,1223524992,2100,5.38,-4676.0,-6.29762
213,1199869952,1549,8.54,-2812.0,-10.5854
214,1165059712,458,30.45,31.0,127.667
215,1122221184,4017,3.7,-13703.0,-1.83732
216,1113854592,1719,39.75,-1913.0,-15.2587
217,1074487116,351,3.22,3926.0,24.6864
218,1063888960,22000,28.32,-129.0,-2.23748
220,1011153853,1700,58.54,1409.0,42.4489
221,1003188224,1576,18.04,-6285.0,-6.24825
222,993128640,606,11.2,3103.0,15.1757
223,957966080,746,20.35,-4350.0,-11.741
225,946225467,1107,55.85,1312.0,30.6191
226,944520640,575,12.74,1881.0,20.2581
227,939103872,712,5.72,-2541.0,-17.0909
228,930215104,1685,22.65,-1301.0,-25.5393
229,913215936,809,1.28,-4549.0,-4.13793
